"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013"
"00000","United States","","CA1","1","...","Personal income (thousands of dollars)",791150000,855078000,923964000,1015526000,1131213000,1242433000,1359998000,1491143000,1646608000,1851615000,2068559000,2306348000,2583725000,2767024000,2957347000,3268031000,3501453000,3711654000,3940330000,4259752000,4602330000,4888493000,5053490000,5399838000,5637558000,5927748000,6271253000,6656570000,7069464000,7582710000,7983593000,8630550000,8983398000,9146428000,9479763000,10043231000,10605595000,11376405000,11990104000,12429234000,12080223000,12417659000,13189935000,13873161000,14151427000
"00000","United States","","CA1","2","...","Population (persons) 1/",201298000,203798722,206817509,209274882,211349205,213333635,215456585,217553859,219760875,222098244,224568579,227224719,229465744,231664432,233792014,235824907,237923734,240132831,242288936,244499004,246819222,249622814,252980941,256514224,259918588,263125821,266278393,269394284,272646925,275854104,279040168,282162411,284968955,287625193,290107933,292805298,295516599,298379912,301231207,304093966,306771529,309326295,311582564,313873685,316128839
"00000","United States","","CA1","3","...","Per capita personal income (dollars) 2/",3930,4196,4468,4853,5352,5824,6312,6854,7493,8337,9211,10150,11260,11944,12649,13858,14717,15457,16263,17422,18647,19584,19976,21051,21690,22528,23551,24709,25929,27488,28611,30587,31524,31800,32677,34300,35888,38127,39804,40873,39379,40144,42332,44200,44765
"01000","Alabama state total","5","CA1","1","...","Personal income (thousands of dollars)",9726212,10605131,11670926,12964387,14582799,16175869,18038463,20219074,22272668,25190629,27985848,30846806,34247539,36181454,38757480,42636213,45929741,48611751,51473139,55363180,60280625,64030925,67609367,72797037,76150809,80624474,85261242,88949009,93684207,100128887,104075226,109650210,114135857,117165562,122138952,130774307,137980530,146351621,153163623,159075116,156826195,162201146,168107121,173149657,176340520
"01000","Alabama state total","5","CA1","2","...","Population (persons) 1/",3440000,3449846,3497452,3540080,3580769,3627805,3680533,3737204,3782736,3834120,3869444,3900368,3918533,3925263,3934100,3951824,3972520,3991569,4015262,4023842,4030219,4050055,4099156,4154014,4214202,4260229,4296800,4331102,4367935,4404701,4430141,4452173,4467634,4480089,4503491,4530729,4569805,4628981,4672840,4718206,4757938,4785570,4801627,4817528,4833722
"01000","Alabama state total","5","CA1","3","...","Per capita personal income (dollars) 2/",2827,3074,3337,3662,4073,4459,4901,5410,5888,6570,7233,7909,8740,9218,9852,10789,11562,12179,12819,13759,14957,15810,16493,17525,18070,18925,19843,20537,21448,22732,23493,24628,25547,26153,27121,28864,30194,31616,32777,33715,32961,33894,35010,35942,36481
"01001","Autauga, AL ","5","CA1","1","...","Personal income (thousands of dollars)",69808,77446,87790,99758,114325,123509,130898,149344,160698,186762,226233,247991,259585,277637,299147,334485,363280,387694,421902,462519,500593,528744,571046,611523,651844,711545,755124,807824,868736,931899,992400,1055630,1171705,1191830,1271308,1370455,1475381,1564021,1640593,1723955,1727116,1774802,1855079,1894701,1924947
"01001","Autauga, AL ","5","CA1","2","...","Population (persons) 1/",25166,24606,25508,27166,28463,29266,29718,29896,30462,30882,32055,32215,31985,32036,32054,32134,32245,32893,33268,33636,33996,34353,35010,35985,36953,38186,39112,40207,41238,42106,42963,44021,44889,45909,46800,48366,49676,51328,52405,53277,54135,54613,55278,55265,55246
"01001","Autauga, AL ","5","CA1","3","...","Per capita personal income (dollars) 2/",2774,3147,3442,3672,4017,4220,4405,4995,5275,6048,7058,7698,8116,8666,9333,10409,11266,11787,12682,13751,14725,15391,16311,16994,17640,18634,19307,20092,21066,22132,23099,23980,26102,25961,27165,28335,29700,30471,31306,32358,31904,32498,33559,34284,34843
"01003","Baldwin, AL ","5","CA1","1","...","Personal income (thousands of dollars)",157098,172451,196330,223337,267249,304840,344509,404505,433150,493990,539409,612558,714163,756253,841388,937190,1046969,1114195,1181043,1280052,1438193,1565972,1733556,1931986,2131453,2351616,2564234,2804525,3062081,3339372,3535859,3859695,3982691,4109624,4283803,4759845,5190627,5772141,6156136,6339199,6284597,6681893,7134507,7407124,7645538
"01003","Baldwin, AL ","5","CA1","2","...","Population (persons) 1/",56951,59474,60142,62435,64196,66072,67861,70244,72399,74550,76594,78931,80287,82331,83978,86752,89401,91311,93214,94649,96198,98955,102420,106595,111416,116565,120896,125412,130164,134444,137555,141342,144875,147957,151509,156266,162183,168121,172404,175827,179406,183223,186727,190675,195540
"01003","Baldwin, AL ","5","CA1","3","...","Per capita personal income (dollars) 2/",2758,2900,3264,3577,4163,4614,5077,5759,5983,6626,7042,7761,8895,9186,10019,10803,11711,12202,12670,13524,14950,15825,16926,18125,19131,20174,21210,22362,23525,24838,25705,27307,27491,27776,28274,30460,32005,34333,35708,36054,35030,36469,38208,38847,39100
"01005","Barbour, AL ","5","CA1","1","...","Personal income (thousands of dollars)",51038,57492,61814,69877,79399,89700,98096,112600,122487,139093,150669,158645,177970,185668,199461,228540,243830,263423,279358,307155,328155,342506,373428,401255,418878,440970,442024,454040,473793,510406,553056,556435,591888,585998,597966,638904,656889,672558,692154,712110,704710,722342,742913,737799,773268
"01005","Barbour, AL ","5","CA1","2","...","Population (persons) 1/",23818,22655,23092,22854,23457,23432,24869,25609,24690,24524,24429,24763,24748,24777,24798,24952,25002,24941,25102,25230,25336,25505,26506,26941,27371,27751,27854,28298,28415,28841,28866,29015,28863,28653,28594,28287,28027,27861,27757,27808,27657,27341,27301,27232,27076
