GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "00999","United States (Nonmetropolitan Portion)", ,MAIRPD,1,"...","Implicit regional price deflator ","Index",77.167,77.271,80.298,82.164,83.870,85.213,86.310,86.267,86.382,87.616,91.072,92.522,92.442,96.806,102.793
 "10180","Abilene, TX (Metropolitan Statistical Area)", ,MAIRPD,1,"...","Implicit regional price deflator ","Index",82.162,79.461,84.109,85.802,88.920,88.582,91.831,90.346,91.674,93.778,94.188,95.631,94.567,100.033,106.455
 "10420","Akron, OH (Metropolitan Statistical Area)", ,MAIRPD,1,"...","Implicit regional price deflator ","Index",82.497,84.669,84.413,87.295,90.275,91.224,92.247,93.014,93.708,95.359,96.181,97.994,97.844,101.862,106.827
 "10500","Albany, GA (Metropolitan Statistical Area)", ,MAIRPD,1,"...","Implicit regional price deflator ","Index",77.087,76.115,78.956,81.390,82.607,84.354,85.886,85.626,87.754,87.291,88.260,87.181,87.798,97.377,100.252
 "10540","Albany-Lebanon, OR (Metropolitan Statistical Area)", ,MAIRPD,1,"...","Implicit regional price deflator ","Index",88.651,88.960,87.794,89.319,91.324,92.763,95.931,96.102,97.229,98.937,105.384,106.641,107.242,111.063,121.399
 "10580","Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)", ,MAIRPD,1,"...","Implicit regional price deflator ","Index",91.579,90.915,90.466,93.502,94.096,97.436,96.537,98.090,99.498,100.700,101.828,103.202,103.713,108.007,112.054
 "10740","Albuquerque, NM (Metropolitan Statistical Area)", ,MAIRPD,1,"...","Implicit regional price deflator ","Index",86.451,88.058,88.170,93.211,94.150,94.168,95.621,94.144,94.934,98.087,95.808,98.410,98.516,100.492,108.365
 "10780","Alexandria, LA (Metropolitan Statistical Area)", ,MAIRPD,1,"...","Implicit regional price deflator ","Index",79.946,76.605,80.569,80.716,85.352,87.651,88.146,87.831,90.544,90.539,89.260,92.214,91.425,97.376,99.992
 "10900","Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)", ,MAIRPD,1,"...","Implicit regional price deflator ","Index",90.185,91.172,91.617,92.742,94.508,96.586,96.732,98.293,99.438,101.735,101.189,102.718,104.310,106.880,113.776
 "11020","Altoona, PA (Metropolitan Statistical Area)", ,MAIRPD,1,"...","Implicit regional price deflator ","Index",83.800,81.681,84.952,86.807,87.269,88.898,86.816,90.079,89.980,91.208,93.182,93.972,93.844,97.204,103.294
 "11100","Amarillo, TX (Metropolitan Statistical Area)", ,MAIRPD,1,"...","Implicit regional price deflator ","Index",85.387,83.123,85.905,89.430,90.891,92.365,93.530,94.353,95.513,96.153,95.158,97.418,98.914,102.011,106.500
 "11180","Ames, IA (Metropolitan Statistical Area)", ,MAIRPD,1,"...","Implicit regional price deflator ","Index",73.504,80.043,84.143,85.141,87.321,90.609,90.368,87.699,87.340,89.858,95.864,99.367,97.699,99.741,102.639
 "11260","Anchorage, AK (Metropolitan Statistical Area)", ,MAIRPD,1,"...","Implicit regional price deflator ","Index",94.963,99.482,96.252,99.114,101.382,101.994,101.859,102.854,106.215,107.790,108.600,108.494,107.971,116.207,119.601
 "11460","Ann Arbor, MI (Metropolitan Statistical Area)", ,MAIRPD,1,"...","Implicit regional price deflator ","Index",92.395,90.060,91.520,93.147,95.395,95.954,99.593,97.483,96.626,98.476,101.258,104.155,103.051,108.358,113.323
 "11500","Anniston-Oxford, AL (Metropolitan Statistical Area)", ,MAIRPD,1,"...","Implicit regional price deflator ","Index",78.633,74.195,80.336,84.343,85.780,86.562,87.102,88.646,89.238,88.603,86.896,90.703,89.756,91.209,97.312
 "11540","Appleton, WI (Metropolitan Statistical Area)", ,MAIRPD,1,"...","Implicit regional price deflator ","Index",86.655,84.196,86.206,87.470,89.470,91.307,91.734,90.924,91.380,92.079,95.411,96.969,96.556,101.742,106.490
 "11700","Asheville, NC (Metropolitan Statistical Area)", ,MAIRPD,1,"...","Implicit regional price deflator ","Index",83.155,81.197,83.985,86.694,89.046,90.149,91.720,90.539,93.694,93.836,94.947,97.431,97.474,103.202,109.991
 "12020","Athens-Clarke County, GA (Metropolitan Statistical Area)", ,MAIRPD,1,"...","Implicit regional price deflator ","Index",83.980,83.863,85.664,87.568,88.207,89.463,90.753,90.338,92.114,93.834,92.415,93.875,94.521,102.931,108.580
 "12060","Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)", ,MAIRPD,1,"...","Implicit regional price deflator ","Index",87.431,84.507,88.848,89.532,93.689,94.070,95.615,95.350,96.687,99.406,100.215,101.513,103.336,107.997,114.595
 "12100","Atlantic City-Hammonton, NJ (Metropolitan Statistical Area)", ,MAIRPD,1,"...","Implicit regional price deflator ","Index",97.938,95.120,96.730,98.028,99.661,97.924,98.552,100.466,100.628,97.846,101.790,100.599,105.363,105.691,114.389
 "12220","Auburn-Opelika, AL (Metropolitan Statistical Area)", ,MAIRPD,1,"...","Implicit regional price deflator ","Index",80.484,78.580,80.790,85.475,86.070,87.187,88.662,86.290,88.651,89.605,90.753,93.883,93.379,97.653,102.871
 "12260","Augusta-Richmond County, GA-SC (Metropolitan Statistical Area)", ,MAIRPD,1,"...","Implicit regional price deflator ","Index",81.172,80.506,83.435,86.884,88.322,89.276,89.802,90.685,91.983,92.418,93.320,93.478,93.860,100.185,106.735
 "12420","Austin-Round Rock-Georgetown, TX (Metropolitan Statistical Area)", ,MAIRPD,1,"...","Implicit regional price deflator ","Index",88.755,87.872,90.190,93.048,95.399,96.478,98.414,98.780,100.771,101.755,101.084,102.792,105.856,109.100,114.680
