GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "00000","United States", ,PARPI,1,"...","Real personal income (thousands of constant (2017) dollars) ","Thousands of constant 2017 dollars",13932319395,13560629165,13862567495,14331132474,14709774545,14682820263,15216230233,15896447748,16162029357,16658962000,17163073954,17720998033,18741358869,19626220810,18803662060
 "01998","Alabama (Metropolitan Portion)",5,PARPI,1,"...","Real personal income (thousands of constant (2017) dollars) ","Thousands of constant 2017 dollars",152578966,152293472,153049597,154584736,155222273,154759983,158723118,166446252,166712460,171230055,181381130,185360726,197845285,207559026,199325315
 "01999","Alabama (Nonmetropolitan Portion)",5,PARPI,1,"...","Real personal income (thousands of constant (2017) dollars) ","Thousands of constant 2017 dollars",46958607,47748182,47009521,46798410,46191787,46531227,46631090,48883754,48298499,49076116,49828328,50465870,54918640,56562039,54894027
 "02998","Alaska (Metropolitan Portion)",8,PARPI,1,"...","Real personal income (thousands of constant (2017) dollars) ","Thousands of constant 2017 dollars",24643266,23879925,26026597,26916698,27118599,26437689,27527192,28326161,27100719,26892533,27587583,28131130,29113612,28763256,29285903
 "02999","Alaska (Nonmetropolitan Portion)",8,PARPI,1,"...","Real personal income (thousands of constant (2017) dollars) ","Thousands of constant 2017 dollars",10826898,11081015,11867301,12601352,13214844,13125670,13435386,13487720,13469592,13252492,13346718,13737921,13804716,13565668,13332025
 "04998","Arizona (Metropolitan Portion)",6,PARPI,1,"...","Real personal income (thousands of constant (2017) dollars) ","Thousands of constant 2017 dollars",233546546,220901590,226355909,235644524,243711473,245382002,255117356,269301736,276670269,291434686,304355886,319535589,345405273,373123957,355357848
 "04999","Arizona (Nonmetropolitan Portion)",6,PARPI,1,"...","Real personal income (thousands of constant (2017) dollars) ","Thousands of constant 2017 dollars",11158871,11576408,11542239,11854550,12012986,11902262,12274551,12350702,12902686,13327022,14367526,14812373,16624307,17478861,16778245
 "05998","Arkansas (Metropolitan Portion)",5,PARPI,1,"...","Real personal income (thousands of constant (2017) dollars) ","Thousands of constant 2017 dollars",75462715,75938921,75669068,78994697,83736104,82196183,86961320,91006451,92672083,95179999,100369338,99794432,106041226,111615989,111005173
 "05999","Arkansas (Nonmetropolitan Portion)",5,PARPI,1,"...","Real personal income (thousands of constant (2017) dollars) ","Thousands of constant 2017 dollars",42166430,42520066,41868009,42156238,42871430,42952832,43367262,43632339,43756778,44566006,44777984,44962697,48248401,49937147,48588761
 "06998","California (Metropolitan Portion)",8,PARPI,1,"...","Real personal income (thousands of constant (2017) dollars) ","Thousands of constant 2017 dollars",1572528114,1535848280,1591425472,1656400814,1719907585,1722017736,1800053228,1916237568,1996427314,2037508916,2077851272,2174095808,2328073378,2433490153,2267853907
 "06999","California (Nonmetropolitan Portion)",8,PARPI,1,"...","Real personal income (thousands of constant (2017) dollars) ","Thousands of constant 2017 dollars",31121846,31793759,33165055,32779697,33404063,33132298,34780491,35324196,37301531,36598035,36829559,37699207,42309296,42752055,38748289
 "08998","Colorado (Metropolitan Portion)",7,PARPI,1,"...","Real personal income (thousands of constant (2017) dollars) ","Thousands of constant 2017 dollars",199234928,192335244,198475002,204998820,212224876,220891133,236185223,245554927,247038265,260692474,283418794,293270531,304985457,328647020,329866617
 "08999","Colorado (Nonmetropolitan Portion)",7,PARPI,1,"...","Real personal income (thousands of constant (2017) dollars) ","Thousands of constant 2017 dollars",29073008,27945704,28171958,28642160,30244875,30399964,32416317,33946726,34810766,34828700,38118771,38616757,41300906,44948614,43025845
 "09998","Connecticut (Metropolitan Portion)",1,PARPI,1,"...","Real personal income (thousands of constant (2017) dollars) ","Thousands of constant 2017 dollars",208012540,205906207,216851069,216228833,215122110,206944654,214273605,218412670,220584660,222936090,235284576,237949700,241532125,248464947,231491275
 "09999","Connecticut (Nonmetropolitan Portion)",1,PARPI,1,"...","Real personal income (thousands of constant (2017) dollars) ","Thousands of constant 2017 dollars",10117960,9728574,10341778,10142081,10575274,10268847,10293115,10415600,10499573,10378868,10673932,11380855,12273221,13156095,12400240
 "10998","Delaware (Metropolitan Portion)",2,PARPI,1,"...","Real personal income (thousands of constant (2017) dollars) ","Thousands of constant 2017 dollars",40603610,40380914,40303508,42751617,42716589,43139023,43879189,46922908,47558239,48909033,50620264,51649475,54806353,55822282,56742492
 "10999","Delaware (Nonmetropolitan Portion)",2,PARPI,1,"...","Real personal income (thousands of constant (2017) dollars) ","Thousands of constant 2017 dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "11998","District of Columbia (Metropolitan Portion)",2,PARPI,1,"...","Real personal income (thousands of constant (2017) dollars) ","Thousands of constant 2017 dollars",35133000,35414532,37035085,39128702,40397490,39778462,41618436,45179382,47327351,49328753,49680132,50953463,52010765,53697093,49306244
 "11999","District of Columbia (Nonmetropolitan Portion)",2,PARPI,1,"...","Real personal income (thousands of constant (2017) dollars) ","Thousands of constant 2017 dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "12998","Florida (Metropolitan Portion)",5,PARPI,1,"...","Real personal income (thousands of constant (2017) dollars) ","Thousands of constant 2017 dollars",777315248,744936905,781319712,799583967,808154345,801455407,843255136,895168906,921742789,977266890,1027635691,1083442192,1132243873,1216363663,1187010310
 "12999","Florida (Nonmetropolitan Portion)",5,PARPI,1,"...","Real personal income (thousands of constant (2017) dollars) ","Thousands of constant 2017 dollars",24354780,24141738,24435433,24463088,24560691,23478319,24427363,25701173,26036928,27634938,27916839,28825357,31360154,32054875,30971561
 "13998","Georgia (Metropolitan Portion)",5,PARPI,1,"...","Real personal income (thousands of constant (2017) dollars) ","Thousands of constant 2017 dollars",336853533,340129551,333068822,351561262,347076537,349472622,368600716,392708053,405167614,420538407,437782116,456352640,480218825,500574765,478845389
