GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "00000","United States", ,PARPP,1,"...","RPPs: All items ","Index",100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000
 "01998","Alabama (Metropolitan Portion)",5,PARPP,1,"...","RPPs: All items ","Index",91.013,90.013,91.703,92.308,92.641,92.307,91.927,91.489,92.524,92.110,88.700,89.651,89.263,89.327,89.393
 "01999","Alabama (Nonmetropolitan Portion)",5,PARPP,1,"...","RPPs: All items ","Index",81.523,80.135,82.985,82.322,83.494,83.344,84.043,83.451,83.705,83.089,82.585,83.523,81.345,83.160,81.587
 "02998","Alaska (Metropolitan Portion)",8,PARPP,1,"...","RPPs: All items ","Index",106.158,110.036,105.565,106.034,105.474,104.842,104.158,104.733,106.703,106.995,106.057,104.506,102.504,106.224,102.326
 "02999","Alaska (Nonmetropolitan Portion)",8,PARPP,1,"...","RPPs: All items ","Index",99.138,98.278,98.371,97.913,96.256,96.028,98.555,100.119,97.936,100.046,101.106,99.682,98.792,101.536,101.150
 "04998","Arizona (Metropolitan Portion)",6,PARPP,1,"...","RPPs: All items ","Index",103.143,103.580,101.154,99.644,98.612,98.936,98.462,98.294,99.153,98.368,97.967,98.450,99.999,97.253,100.659
 "04999","Arizona (Nonmetropolitan Portion)",6,PARPP,1,"...","RPPs: All items ","Index",89.993,89.064,89.481,88.138,84.945,86.419,85.135,87.074,84.855,85.414,81.495,80.441,80.311,80.202,80.257
 "05998","Arkansas (Metropolitan Portion)",5,PARPP,1,"...","RPPs: All items ","Index",91.061,89.508,91.261,91.936,92.085,92.064,91.733,91.622,92.314,91.383,88.983,89.645,90.196,90.811,88.457
 "05999","Arkansas (Nonmetropolitan Portion)",5,PARPP,1,"...","RPPs: All items ","Index",83.159,81.195,83.870,84.934,84.629,84.792,85.174,84.189,83.640,83.429,83.473,84.072,84.064,84.939,82.547
 "06998","California (Metropolitan Portion)",8,PARPP,1,"...","RPPs: All items ","Index",111.379,110.847,109.877,109.668,109.912,109.878,110.173,110.849,110.115,111.125,112.186,111.253,112.126,112.102,112.650
