GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "01000","Alabama",5,SAIRPD,1,"...","Implicit regional price deflator ","Index",79.229,78.006,81.174,83.482,85.568,86.464,87.542,87.284,89.026,90.098,89.177,91.429,91.641,95.949,101.857
 "02000","Alaska",8,SAIRPD,1,"...","Implicit regional price deflator ","Index",92.669,94.455,93.395,95.893,96.989,97.772,99.463,100.540,102.289,104.864,106.692,106.683,106.035,114.207,118.350
 "04000","Arizona",6,SAIRPD,1,"...","Implicit regional price deflator ","Index",91.400,91.452,91.010,91.950,92.685,94.263,95.114,95.228,96.897,97.873,99.337,101.193,103.809,105.312,115.923
 "05000","Arkansas",5,SAIRPD,1,"...","Implicit regional price deflator ","Index",78.528,76.765,80.097,82.906,84.470,85.671,86.784,86.577,87.743,88.607,88.941,90.812,92.317,96.932,100.489
 "06000","California",8,SAIRPD,1,"...","Implicit regional price deflator ","Index",99.145,98.372,99.262,101.594,103.656,105.012,106.723,107.656,107.981,110.925,114.264,114.985,117.061,121.957,130.513
 "08000","Colorado",7,SAIRPD,1,"...","Implicit regional price deflator ","Index",92.114,91.012,91.051,95.950,97.514,98.767,100.108,100.300,100.950,102.957,102.343,106.089,108.626,112.137,118.704
 "09000","Connecticut",1,SAIRPD,1,"...","Implicit regional price deflator ","Index",98.502,98.550,96.853,100.107,101.664,103.158,103.929,104.705,105.676,107.180,106.187,107.526,109.990,112.000,123.483
 "10000","Delaware",2,SAIRPD,1,"...","Implicit regional price deflator ","Index",89.906,90.811,91.913,93.168,94.090,94.431,96.834,95.300,96.809,98.564,101.292,102.341,101.259,106.242,113.672
 "11000","District of Columbia",2,SAIRPD,1,"...","Implicit regional price deflator ","Index",100.214,100.518,103.356,105.892,105.590,108.793,111.001,110.324,110.545,110.087,113.792,113.085,116.035,121.708,130.951
 "12000","Florida",5,SAIRPD,1,"...","Implicit regional price deflator ","Index",90.647,89.329,90.814,93.561,95.523,96.468,97.953,98.521,99.321,100.871,102.369,103.204,105.242,110.537,118.531
 "13000","Georgia",5,SAIRPD,1,"...","Implicit regional price deflator ","Index",83.997,81.627,85.501,86.881,90.037,90.788,92.171,92.110,93.303,95.292,96.760,97.700,98.870,104.366,111.206
 "15000","Hawaii",8,SAIRPD,1,"...","Implicit regional price deflator ","Index",97.858,100.108,99.017,101.963,102.447,107.560,107.408,108.503,107.995,110.447,113.099,115.660,118.404,122.653,128.621
 "16000","Idaho",7,SAIRPD,1,"...","Implicit regional price deflator ","Index",84.688,84.348,84.363,87.355,88.381,89.727,91.004,91.761,91.402,94.544,93.580,95.679,95.227,99.852,106.559
 "17000","Illinois",3,SAIRPD,1,"...","Implicit regional price deflator ","Index",89.382,90.273,92.093,94.657,95.462,96.008,96.816,96.260,97.828,100.280,102.377,102.877,104.937,110.376,117.501
