GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "00000","United States", ,SARPI,1,"..."," Real personal income (millions of constant (2017) dollars) 1/","Millions of constant 2017 dollars",13932319.4,13560629.2,13862567.5,14331132.5,14709774.5,14682820.3,15216230.2,15896447.7,16162029.4,16658962.0,17163074.0,17720998.0,18741358.9,19626220.8,18803662.1
 "01000","Alabama",5,SARPI,1,"..."," Real personal income (millions of constant (2017) dollars) 1/","Millions of constant 2017 dollars",199308.2,199810.9,199934.3,201384.9,201397.8,201172.1,205291.8,215147.9,214859.9,220235.9,231109.9,235777.4,252611.7,264054.0,253984.2
 "02000","Alaska",8,SARPI,1,"..."," Real personal income (millions of constant (2017) dollars) 1/","Millions of constant 2017 dollars",35489.4,34976.6,37928.9,39548.5,40261.6,39493.9,40913.7,41763.3,40448.3,40068.6,40876.8,41797.3,42899.4,42305.5,42598.6
 "04000","Arizona",6,SARPI,1,"..."," Real personal income (millions of constant (2017) dollars) 1/","Millions of constant 2017 dollars",244724.1,232419.1,237914.3,247442.2,255433.5,257087.1,267086.1,281347.5,289273.8,304434.3,318218.3,333861.1,361547.7,390081.8,371495.4
 "05000","Arkansas",5,SARPI,1,"..."," Real personal income (millions of constant (2017) dollars) 1/","Millions of constant 2017 dollars",117807.7,118683.5,117680.3,121331.4,126850.0,125299.8,130572.4,134940.8,136781.6,140074.1,145306.2,145008.2,154353.4,161672.0,159683.6
 "06000","California",8,SARPI,1,"..."," Real personal income (millions of constant (2017) dollars) 1/","Millions of constant 2017 dollars",1603306.0,1567285.7,1624234.9,1688931.8,1753099.3,1755250.2,1834858.3,1951176.5,2033539.5,2073859.0,2114414.8,2211331.7,2370532.3,2476630.0,2306733.7
 "08000","Colorado",7,SARPI,1,"..."," Real personal income (millions of constant (2017) dollars) 1/","Millions of constant 2017 dollars",228236.2,220217.9,226621.4,233652.0,242375.6,251229.7,268506.2,279326.6,281611.3,295345.2,321261.3,331824.7,346297.8,373562.1,373023.8
 "09000","Connecticut",1,SARPI,1,"..."," Real personal income (millions of constant (2017) dollars) 1/","Millions of constant 2017 dollars",218101.9,215629.8,227260.5,226382.8,225685.1,217256.9,224560.1,228819.1,231104.6,233286.0,245903.7,249291.0,253773.1,261629.4,243875.7
 "10000","Delaware",2,SARPI,1,"..."," Real personal income (millions of constant (2017) dollars) 1/","Millions of constant 2017 dollars",40590.1,40366.5,40290.5,42736.6,42700.0,43131.6,43866.2,46905.4,47544.3,48891.9,50602.0,51630.6,54797.5,55820.3,56734.1
 "11000","District of Columbia",2,SARPI,1,"..."," Real personal income (millions of constant (2017) dollars) 1/","Millions of constant 2017 dollars",35121.3,35401.9,37023.1,39115.0,40381.8,39771.6,41606.2,45162.5,47313.5,49311.5,49662.2,50934.9,52002.4,53695.2,49299.0
 "12000","Florida",5,SARPI,1,"..."," Real personal income (millions of constant (2017) dollars) 1/","Millions of constant 2017 dollars",801556.1,768901.7,805719.8,823940.3,832404.4,824741.5,867379.1,920580.0,947436.7,1004622.8,1055234.0,1111979.1,1163423.6,1248414.5,1217815.1
