GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "00000","United States", ,SARPP,1,"...","RPPs: All items ","Index",100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000
 "01000","Alabama",5,SARPP,1,"...","RPPs: All items ","Index",88.852,87.725,89.682,89.955,90.515,90.273,90.137,89.706,90.580,90.098,87.388,88.326,87.581,88.026,87.776
 "02000","Alaska",8,SARPP,1,"...","RPPs: All items ","Index",103.924,106.224,103.183,103.328,102.597,102.079,102.412,103.331,104.075,104.864,104.552,103.063,101.339,104.776,101.989
 "04000","Arizona",6,SARPP,1,"...","RPPs: All items ","Index",102.501,102.847,100.548,99.081,98.044,98.415,97.934,97.871,98.588,97.873,97.344,97.759,99.211,96.615,99.897
 "05000","Arkansas",5,SARPP,1,"...","RPPs: All items ","Index",88.065,86.330,88.492,89.335,89.354,89.445,89.357,88.980,89.275,88.607,87.156,87.730,88.228,88.927,86.597
 "06000","California",8,SARPP,1,"...","RPPs: All items ","Index",111.187,110.629,109.665,109.472,109.649,109.638,109.887,110.644,109.866,110.925,111.972,111.082,111.876,111.886,112.470
 "08000","Colorado",7,SARPP,1,"...","RPPs: All items ","Index",103.302,102.351,100.594,103.391,103.152,103.118,103.076,103.084,102.713,102.957,100.290,102.488,103.814,102.877,102.293
 "09000","Connecticut",1,SARPP,1,"...","RPPs: All items ","Index",110.466,110.829,107.003,107.870,107.542,107.703,107.010,107.612,107.521,107.180,104.057,103.877,105.118,102.751,106.412
 "10000","Delaware",2,SARPP,1,"...","RPPs: All items ","Index",100.826,102.125,101.547,100.392,99.530,98.591,99.704,97.946,98.499,98.564,99.260,98.867,96.774,97.469,97.957
 "11000","District of Columbia",2,SARPP,1,"...","RPPs: All items ","Index",112.385,113.041,114.189,114.103,111.696,113.585,114.291,113.386,112.475,110.087,111.510,109.247,110.895,111.658,112.847
 "12000","Florida",5,SARPP,1,"...","RPPs: All items ","Index",101.657,100.459,100.332,100.816,101.046,100.718,100.856,101.256,101.055,100.871,100.315,99.701,100.580,101.409,102.144
 "13000","Georgia",5,SARPP,1,"...","RPPs: All items ","Index",94.199,91.797,94.463,93.618,95.243,94.787,94.903,94.667,94.932,95.292,94.819,94.384,94.491,95.748,95.832
 "15000","Hawaii",8,SARPP,1,"...","RPPs: All items ","Index",109.744,112.581,109.395,109.869,108.370,112.299,110.592,111.515,109.881,110.447,110.831,111.734,113.159,112.525,110.839
 "16000","Idaho",7,SARPP,1,"...","RPPs: All items ","Index",94.973,94.857,93.204,94.129,93.491,93.679,93.701,94.308,92.998,94.544,91.703,92.431,91.008,91.606,91.827
 "17000","Illinois",3,SARPP,1,"...","RPPs: All items ","Index",100.238,101.521,101.745,101.998,100.982,100.238,99.686,98.932,99.535,100.280,100.323,99.385,100.289,101.262,101.257
 "18000","Indiana",3,SARPP,1,"...","RPPs: All items ","Index",91.965,92.573,93.073,92.437,92.784,92.926,92.696,91.483,91.423,90.884,92.737,92.790,91.755,92.496,91.817
 "19000","Iowa",4,SARPP,1,"...","RPPs: All items ","Index",87.395,89.776,91.218,89.907,90.843,90.940,91.070,89.632,89.560,89.257,91.841,91.873,90.767,89.778,88.422
 "20000","Kansas",4,SARPP,1,"...","RPPs: All items ","Index",89.865,91.814,92.993,92.786,93.313,92.630,93.188,92.873,92.132,91.563,92.508,92.813,92.349,91.280,89.961
 "21000","Kentucky",5,SARPP,1,"...","RPPs: All items ","Index",89.803,88.492,90.358,90.413,90.646,90.845,91.025,90.699,90.648,90.031,89.074,89.609,89.095,89.229,89.356
 "22000","Louisiana",5,SARPP,1,"...","RPPs: All items ","Index",91.436,90.144,92.131,92.690,92.878,92.889,93.373,92.810,93.580,92.392,90.769,91.139,91.187,91.396,90.569
 "23000","Maine",1,SARPP,1,"...","RPPs: All items ","Index",98.591,98.881,97.688,96.220,97.011,98.392,92.632,95.984,97.318,97.608,97.683,95.576,97.901,97.263,100.839
 "24000","Maryland",2,SARPP,1,"...","RPPs: All items ","Index",108.828,110.488,108.432,109.324,107.410,108.543,107.909,107.944,107.262,106.743,106.355,105.097,106.395,106.171,104.958
 "25000","Massachusetts",1,SARPP,1,"...","RPPs: All items ","Index",106.230,105.482,104.709,104.744,104.444,103.316,104.535,104.948,108.185,107.258,107.264,107.011,109.014,106.626,109.393
 "26000","Michigan",3,SARPP,1,"...","RPPs: All items ","Index",95.858,96.044,96.195,95.209,95.019,95.232,95.485,93.725,93.631,92.704,94.458,95.309,94.413,94.193,93.428
 "27000","Minnesota",4,SARPP,1,"...","RPPs: All items ","Index",96.757,98.648,97.591,97.266,97.391,97.487,98.338,97.713,97.273,96.765,99.577,98.840,97.899,98.392,97.722
 "28000","Mississippi",5,SARPP,1,"...","RPPs: All items ","Index",88.038,85.588,88.218,88.833,88.521,88.843,88.920,88.233,88.469,87.808,86.166,86.544,85.608,86.208,87.328
 "29000","Missouri",4,SARPP,1,"...","RPPs: All items ","Index",88.468,90.473,93.124,92.522,92.456,92.837,93.373,92.296,91.704,91.718,91.792,92.547,92.207,91.993,91.119
 "30000","Montana",7,SARPP,1,"...","RPPs: All items ","Index",94.113,93.218,92.458,94.251,93.207,92.881,95.172,95.010,93.866,94.244,92.371,94.244,91.921,91.385,90.266
 "31000","Nebraska",4,SARPP,1,"...","RPPs: All items ","Index",89.609,90.668,92.130,91.444,92.325,91.876,91.839,91.256,90.869,89.833,91.880,92.587,92.885,91.951,89.806
 "32000","Nevada",8,SARPP,1,"...","RPPs: All items ","Index",101.214,103.042,100.763,102.213,101.595,99.816,99.160,98.588,97.172,99.827,96.198,98.845,97.184,95.409,96.383
 "33000","New Hampshire",1,SARPP,1,"...","RPPs: All items ","Index",106.272,105.231,104.064,103.513,102.937,102.840,102.144,103.956,105.144,105.765,103.530,103.978,105.285,102.520,107.644
 "34000","New Jersey",2,SARPP,1,"...","RPPs: All items ","Index",107.563,111.124,108.867,109.277,109.420,109.077,109.154,108.990,109.111,109.323,111.078,111.253,110.711,109.223,108.757
 "35000","New Mexico",6,SARPP,1,"...","RPPs: All items ","Index",95.114,95.964,94.505,97.088,96.483,95.561,95.469,95.414,94.452,95.720,91.625,92.967,91.790,89.812,90.981
 "36000","New York",2,SARPP,1,"...","RPPs: All items ","Index",111.455,111.204,110.132,110.978,109.733,109.791,108.954,109.666,110.138,109.945,109.587,109.565,110.127,109.685,107.599
 "37000","North Carolina",5,SARPP,1,"...","RPPs: All items ","Index",92.409,91.214,92.813,93.521,93.471,93.683,93.788,93.552,93.771,93.056,92.916,91.915,91.358,93.765,94.204
 "38000","North Dakota",4,SARPP,1,"...","RPPs: All items ","Index",85.946,87.879,89.176,89.643,92.068,92.349,92.576,91.178,91.708,88.706,91.212,93.261,91.948,90.946,88.656
 "39000","Ohio",3,SARPP,1,"...","RPPs: All items ","Index",92.550,93.518,93.155,92.236,93.037,93.285,93.064,92.269,92.408,91.938,92.932,93.258,91.925,92.146,91.450
 "40000","Oklahoma",6,SARPP,1,"...","RPPs: All items ","Index",89.494,88.408,90.456,90.870,91.179,91.465,91.779,91.327,91.480,90.916,89.659,89.310,89.660,89.902,88.771
