year,Total full-time and part-time employment,Wage and salary employment,Proprietors employment
1969,91053200,78722000,12331200
1970,91277600,78793000,12484600
1971,91581400,78812000,12769400
1972,94312200,80992000,13320200
1973,98427500,84657000,13770500
1974,100111800,86086000,14025800
1975,98900600,84604000,14296600
1976,101591200,86966000,14625200
1977,105042200,89963000,15079200
1978,109686600,94328000,15358600
1979,113147100,97408000,15739100
1980,113983200,97646000,16337200
1981,114914000,98344000,16570000
1982,114163300,96841000,17322300
1983,115645700,97636000,18009700
1984,120528100,102080000,18448100
1985,123796700,104616000,19180700
1986,126232300,106505000,19727300
1987,129548400,109399000,20149400
1988,133563900,112486000,21077900
1989,136177800,115124000,21053800
1990,138330900,116544000,21786900
1991,137612800,115086000,22526800
1992,138166100,115666000,22500100
1993,140774400,117717000,23057400
1994,144196600,120568000,23628600
1995,147915800,123412000,24503800
1996,151056200,125711000,25345200
1997,154541200,128681000,25860200
1998,158481200,131920000,26561200
1999,161531300,134766000,26765300
2000,165370800,137610000,27760800
