year,Private nonfarm employment,"Agricultural services, forestry, and fishing",Mining,Construction,Manufacturing,Transportation and public utilities,Wholesale trade,Retail trade,"Finance, insurance, and real estate",Services
1969,71226200,502200,734500,4470800,20546000,4795900,4097900,13448900,5914900,16715100
1970,71235600,521300,743900,4398800,19687400,4865500,4172700,13698800,6125400,17021800
1971,71402400,544400,734600,4458200,18854600,4828200,4231000,14023600,6371800,17356000
1972,74028200,571900,737500,4732900,19345800,4924500,4337900,14389400,6696100,18292200
1973,77801500,607500,761800,5074300,20413200,5072700,4529200,15012100,7138300,19192400
1974,78991800,620900,818500,5043600,20400400,5144900,4655800,15291800,7339400,19676500
1975,77430600,653300,875900,4664300,18654600,4981300,4871000,15165400,7331000,20233800
1976,80087200,698700,917600,4769800,19372300,4995200,5012200,15792800,7583900,20944700
1977,83502200,735700,989000,5089100,20090000,5163400,5174300,16437700,7983500,21839500
1978,87910600,845200,1061400,5602700,20952400,5427100,5414600,17186600,8357200,23063400
1979,90968100,900500,1160200,5879200,21479000,5634400,5639600,17644500,8608100,24022600
1980,91410200,941000,1281600,5623200,20761100,5677100,5704700,17725900,8817000,24878600
1981,92571000,931300,1488500,5533300,20638200,5714300,5791900,17938900,8905000,25629600
1982,91942300,939900,1511000,5342300,19248900,5651800,5684500,18004100,8930300,26629500
1983,93135700,1003900,1376500,5466900,18892700,5582300,5653300,18385100,8945600,27829400
1984,97973100,1080700,1409200,6067900,19850400,5799500,5942000,19326400,9204500,29292500
1985,101073700,1149300,1389000,6382500,19750600,5891900,6098100,20013800,9521000,30877500
1986,103266300,1195100,1158800,6682400,19461700,5939000,6131700,20451100,10098400,32148100
1987,106258400,1303900,1121900,6838800,19528800,6109900,6278400,21182900,10415500,33478300
1988,109899900,1307200,1097300,7070400,19862000,6220700,6435800,21807500,10672400,35426600
1989,112211800,1306300,1053700,7180500,19959500,6355600,6663300,22366600,10668400,36657900
1990,113945900,1372000,1050100,7147800,19664200,6560600,6668500,22618500,10718600,38145600
1991,113249800,1410900,1027700,6729000,18996700,6576200,6587100,22477400,10522400,38922400
1992,113658100,1392300,939300,6757600,18677900,6482700,6640800,22709000,10282600,39775900
1993,116101400,1527300,936600,6947700,18676000,6708000,6531200,23143600,10478900,41152100
1994,119458600,1602000,937800,7317100,18973700,6915300,6664900,24023500,10775500,42248800
1995,123109800,1658300,886900,7650500,19138300,7082200,6891500,24834200,11008800,43959100
1996,126220200,1750600,823700,7935700,19142900,7249200,6970100,25471700,11323600,45552700
1997,129551200,1817700,866500,8304500,19322200,7429500,7147100,25829200,11690100,47144400
1998,133210200,1811600,847100,8679800,19439300,7723000,7346400,25921400,12411700,49029900
1999,135940300,1913500,799300,9119300,19147800,7979500,7426300,26417600,12544100,50592900
2000,139316800,1944100,780200,9387200,19038800,8242300,7539100,26984200,13139500,52261400
