state_name,year,average_labor_force,average_employed,average_unemployed,average_unemployment_rate
California,1976,170604.91379310345,155002.94827586206,15619.206896551725,11.01551724137931
California,1977,178716.60344827586,164025.22413793104,14708.620689655172,10.71551724137931
California,1978,188092.2068965517,174745.44827586206,13364,9.348275862068965
California,1979,194274.5344827586,182172.1724137931,12102.362068965518,8.946551724137931
California,1980,199714.27586206896,186088.3103448276,13625.965517241379,9.486206896551725
California,1981,203635.1551724138,188557.1724137931,15077.98275862069,10.691379310344827
California,1982,210069.37931034484,189184.4827586207,20884.896551724138,13.943103448275862
California,1983,212612.2068965517,192079.94827586206,20549.5,13.11896551724138
California,1984,215562.93103448275,198823.91379310345,16756.258620689656,11.403448275862068
California,1985,223044.93103448275,206993.93103448275,16051,10.306896551724138
California,1986,229886.06896551725,214552.43103448275,15350.879310344828,9.232758620689655
California,1987,236674.8275862069,223055.8620689655,13636.206896551725,7.893103448275862
California,1988,243654.41379310345,230755.06896551725,12899.344827586207,7.794827586206897
California,1989,250299.7068965517,237585.27586206896,12714.431034482759,7.660344827586207
Florida,1976,53796.149253731346,48945.32835820896,4850.820895522388,7.865671641791045
Florida,1977,55465.80597014925,50906.611940298506,4559.194029850746,7.832835820895522
Florida,1978,58897.477611940296,54990.41791044776,3907.0597014925374,6.614925373134328
Florida,1979,61666.522388059704,57968.79104477612,3697.731343283582,6.358208955223881
Florida,1980,63737.77611940299,59997.19402985075,3740.582089552239,5.944776119402985
Florida,1981,67436.14925373135,62837.10447761194,4599.044776119403,6.882089552238806
Florida,1982,70833.88059701493,65047.79104477612,5786.089552238806,8.67910447761194
Florida,1983,73172,66885.92537313433,6286.074626865671,9.528358208955224
Florida,1984,76097.46268656716,71291.77611940299,4805.686567164179,7.222388059701492
Florida,1985,79666.89552238806,74899.92537313433,4766.9701492537315,6.8104477611940295
Florida,1986,83356.59701492537,78581.86567164179,4774.731343283582,6.402985074626866
Florida,1987,87619,82958.3880597015,4660.611940298508,6.205970149253732
Florida,1988,90749.6119402985,86217.31343283581,4532.298507462687,5.785074626865672
Florida,1989,92433.98507462686,87233.68656716419,5200.298507462687,6.240298507462686
New York,1976,123805.17741935483,111103.54838709677,12701.629032258064,10.301612903225806
New York,1977,124493.91935483871,113141.06451612903,11352.854838709678,9.361290322580645
New York,1978,126269.66129032258,116555.12903225806,9714.532258064517,7.637096774193548
New York,1979,129028.41935483871,119829.82258064517,9198.59677419355,7.056451612903226
New York,1980,128520.32258064517,118903.6129032258,9616.709677419354,7.891935483870967
New York,1981,129066.3870967742,119211.54838709677,9854.838709677419,8.004838709677419
New York,1982,128875.98387096774,117846.43548387097,11029.548387096775,9.35
New York,1983,130024.90322580645,118906.98387096774,11117.91935483871,9.370967741935484
New York,1984,130456.03225806452,121043.90322580645,9412.129032258064,7.651612903225806
New York,1985,133985.75806451612,125217.48387096774,8768.274193548386,7.091935483870968
New York,1986,135445.25806451612,126965,8480.258064516129,7.112903225806452
New York,1987,136907.88709677418,130261.74193548386,6646.145161290323,5.5112903225806456
New York,1988,137500.7258064516,131729.48387096773,5771.241935483871,4.887096774193548
New York,1989,140001.7258064516,132868.16129032258,7133.564516129032,5.841935483870968
Texas,1976,22475.77559055118,21185.405511811023,1290.3700787401574,5.192913385826771
Texas,1977,23411.909448818897,22160.01968503937,1251.8897637795276,4.832283464566929
Texas,1978,24490.25590551181,23312.858267716536,1177.3976377952756,4.522047244094488
Texas,1979,25540.846456692914,24464.472440944883,1076.3740157480315,4.0236220472440944
Texas,1980,26531.19291338583,25145.91338582677,1385.2795275590552,5.0913385826771655
Texas,1981,27864.36220472441,26394.83070866142,1469.5314960629921,4.913385826771654
Texas,1982,29027.476377952757,27032.854330708662,1994.6220472440946,6.388582677165354
Texas,1983,30034.685039370077,27636.267716535433,2398.417322834646,7.33503937007874
Texas,1984,30913.437007874014,29079.5,1833.9370078740158,5.668897637795276
Texas,1985,31702.248031496063,29483.649606299212,2218.5984251968503,6.442913385826771
Texas,1986,31992.787401574802,29146.248031496063,2846.5393700787404,9.277559055118111
Texas,1987,32502.712598425198,29758.850393700788,2743.8622047244094,8.162598425196851
Texas,1988,32890.2874015748,30490.84251968504,2399.4448818897636,6.840944881889763
Texas,1989,33173.19291338583,30940.338582677166,2232.8543307086616,6.501181102362205
